Player,Player Link,Position,Age,2024-25,2025-26,2026-27,2027-28,2028-29,Player Key,Team,Team Link
Ja'Kobe Walter,https://www.spotrac.com/nba/player/_/id/91754,SG,20,$3465000,$3638160,$3811800,$5870172,RFA,jakobe-walter,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
Jalen Bridges,https://www.spotrac.com/nba/player/_/id/94479,SG,23,Two-Way,RFA,,,,jalen-bridges,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly
Jalen Brunson,https://www.spotrac.com/nba/player/_/id/26999,PG,28,$24960001,$34944001,$37739521,$40535041,$43330561,jalen-brunson,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly
Jalen Duren,https://www.spotrac.com/nba/player/_/id/78116,C,21,$4536840,$6483144,RFA,,,jalen-duren,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly
Jalen Green,https://www.spotrac.com/nba/player/_/id/74109,SG,22,$12483048,$33333333,$36000000,$36000000,UFA,jalen-green,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Jalen Hood-Schifino,https://www.spotrac.com/nba/player/_/id/82210,PG,21,$3879840,UFA,,,,jalen-hood-schifino,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly
Jalen Johnson,https://www.spotrac.com/nba/player/_/id/74127,SF,23,$4510905,$30000000,$30000000,$30000000,$30000000,jalen-johnson,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly
Jalen Pickett,https://www.spotrac.com/nba/player/_/id/84465,PG,25,$1891857,$2221677,$2406205,UFA,,jalen-pickett,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
Jalen Smith,https://www.spotrac.com/nba/player/_/id/70652,PF,24,$8571429,$9000000,$9428571,UFA,,jalen-smith,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly
Jalen Suggs,https://www.spotrac.com/nba/player/_/id/74112,SG,23,$9188385,$35000000,$32400000,$29600000,$26800000,jalen-suggs,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly
Jalen Williams,https://www.spotrac.com/nba/player/_/id/78126,SF,23,$4775760,$6580997,RFA,,,jalen-williams,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly
Jalen Wilson,https://www.spotrac.com/nba/player/_/id/84477,PF,24,$1891857,$2221677,RFA,,,jalen-wilson,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly
Jamal Cain,https://www.spotrac.com/nba/player/_/id/78584,SF,25,Two-Way,RFA,,,,jamal-cain,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly
Jamal Murray,https://www.spotrac.com/nba/player/_/id/20212,PG,27,$36016200,$46394100,$50105628,$53817156,$57528684,jamal-murray,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
Jamal Shead,https://www.spotrac.com/nba/player/_/id/93955,PG,22,$1862265,$1955377,$2296271,RFA,,jamal-shead,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
James Harden,https://www.spotrac.com/nba/player/_/id/6312,SG,35,$33653846,$36346154,UFA,,,james-harden,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly
James Johnson,https://www.spotrac.com/nba/player/_/id/6279,PF,37,$2087519,UFA,,,,james-johnson,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly
James Wiseman,https://www.spotrac.com/nba/player/_/id/70644,C,23,$2237691,$2546675,UFA,,,james-wiseman,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly
Jamison Battle,https://www.spotrac.com/nba/player/_/id/95121,SF,23,Two-Way,RFA,,,,jamison-battle,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
Jarace Walker,https://www.spotrac.com/nba/player/_/id/82201,PF,21,$6362520,$6665520,$8478542,RFA,,jarace-walker,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly
Jared Butler,https://www.spotrac.com/nba/player/_/id/74147,PG,24,Two-Way,RFA,,,,jared-butler,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly
Jared McCain,https://www.spotrac.com/nba/player/_/id/91760,PG,20,$4020360,$4221360,$4422600,$6784268,RFA,jared-mccain,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
Jaren Jackson Jr.,https://www.spotrac.com/nba/player/_/id/26970,PF,25,$25257798,$23413395,UFA,,,jaren-jackson,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly
Jarred Vanderbilt,https://www.spotrac.com/nba/player/_/id/27007,PF,25,$10714286,$11571429,$12428571,$13285714,UFA,jarred-vanderbilt,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly
Jarrett Allen,https://www.spotrac.com/nba/player/_/id/23617,C,26,$20000000,$20000000,$28000000,$30240000,$32480000,jarrett-allen,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly
Javonte Green,https://www.spotrac.com/nba/player/_/id/32409,SG,31,$2087519,UFA,,,,javonte-green,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly
Jaxson Hayes,https://www.spotrac.com/nba/player/_/id/31565,C,24,$2463946,UFA,,,,jaxson-hayes,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly
Jay Huff,https://www.spotrac.com/nba/player/_/id/74262,C,26,$2088033,$2349578,$2667944,$3005085,UFA,jay-huff,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly
Jaylen Brown,https://www.spotrac.com/nba/player/_/id/20208,SF,28,$49205800,$53142264,$57078728,$61015192,$64951656,jaylen-brown,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
Jaylen Clark,https://www.spotrac.com/nba/player/_/id/84479,SG,23,Two-Way,RFA,,,,jaylen-clark,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly
Jaylen Martin,https://www.spotrac.com/nba/player/_/id/84733,F,21,Two-Way,RFA,,,,jaylen-martin,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly
Jaylen Wells,https://www.spotrac.com/nba/player/_/id/93952,SG,21,$1157153,$1955377,$2296271,$2486995,UFA,jaylen-wells,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly
Jaylin Williams,https://www.spotrac.com/nba/player/_/id/78150,C,22,$2019699,$2187699,UFA,,,jaylin-williams,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly
Jaylon Tyson,https://www.spotrac.com/nba/player/_/id/91773,SG,22,$3326160,$3492480,$3658560,$5641500,RFA,jaylon-tyson,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly
Jayson Tatum,https://www.spotrac.com/nba/player/_/id/23598,PF,26,$34848340,$54126450,$58456566,$62786682,$67116798,jayson-tatum,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
Jazian Gortman,https://www.spotrac.com/nba/player/_/id/86053,G,21,Two-Way,RFA,,,,jazian-gortman,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly
J.D. Davison,https://www.spotrac.com/nba/player/_/id/78163,PG,22,Two-Way,RFA,,,,jd-davison,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
Jeenathan Williams,https://www.spotrac.com/nba/player/_/id/80003,SG,25,Two-Way,RFA,,,,jeenathan-williams,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Jeff Dowtin,https://www.spotrac.com/nba/player/_/id/70872,PG,27,Two-Way,RFA,,,,jeff-dowtin,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
Jeff Green,https://www.spotrac.com/nba/player/_/id/2720,PF,38,$8000000,UFA,,,,jeff-green,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Jerami Grant,https://www.spotrac.com/nba/player/_/id/15391,PF,30,$29793104,$32000001,$34206898,$36413790,UFA,jerami-grant,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
Jeremiah Robinson-Earl,https://www.spotrac.com/nba/player/_/id/74139,PF,24,$2196970,UFA,,,,jeremiah-robinson-earl,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly
Jeremy Sochan,https://www.spotrac.com/nba/player/_/id/78122,PF,21,$5570040,$7096231,RFA,,,jeremy-sochan,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
Jericho Sims,https://www.spotrac.com/nba/player/_/id/74166,C,26,$2092344,UFA,,,,jericho-sims,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly
Jesse Edwards,https://www.spotrac.com/nba/player/_/id/94511,C,24,Two-Way,RFA,,,,jesse-edwards,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly
Jett Howard,https://www.spotrac.com/nba/player/_/id/82211,SG,21,$5278320,$5529720,$7337939,RFA,,jett-howard,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly
Jevon Carter,https://www.spotrac.com/nba/player/_/id/26998,PG,29,$6500000,$6809524,UFA,,,jevon-carter,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly
Jimmy Butler,https://www.spotrac.com/nba/player/_/id/8081,SF,35,$48798677,$52413394,UFA,,,jimmy-butler,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Jock Landale,https://www.spotrac.com/nba/player/_/id/74215,C,29,$8000000,$8000000,$8000000,UFA,,jock-landale,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Joe Ingles,https://www.spotrac.com/nba/player/_/id/15852,SF,37,$2087519,UFA,,,,joe-ingles,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly
Joel Embiid,https://www.spotrac.com/nba/player/_/id/15355,C,30,$51415938,$55224526,$59539200,$64302336,$69065472,joel-embiid,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
John Collins,https://www.spotrac.com/nba/player/_/id/23614,PF,27,$26580000,$26580000,UFA,,,john-collins,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly
John Konchar,https://www.spotrac.com/nba/player/_/id/32170,SG,28,$6165000,$6165000,$6165000,UFA,,john-konchar,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly
Johnny Davis,https://www.spotrac.com/nba/player/_/id/78117,SG,22,$5291160,UFA,,,,johnny-davis,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly
Johnny Furphy,https://www.spotrac.com/nba/player/_/id/91768,SG,20,$1850842,$1955377,$2296271,$2486995,UFA,johnny-furphy,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly
Johnny Juzang,https://www.spotrac.com/nba/player/_/id/78583,SG,23,$3087519,$2840518,$2708000,$2789215,UFA,johnny-juzang,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly
Jonas Valanciunas,https://www.spotrac.com/nba/player/_/id/8055,C,32,$9900000,$10395000,$10000000,UFA,,jonas-valanciunas,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly
Jonathan Isaac,https://www.spotrac.com/nba/player/_/id/23601,PF,27,$25000000,$15000000,$14500000,$14500000,$15000000,jonathan-isaac,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly
Jonathan Kuminga,https://www.spotrac.com/nba/player/_/id/74114,PF,22,$7636307,RFA,,,,jonathan-kuminga,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly
Jonathan Mogbo,https://www.spotrac.com/nba/player/_/id/92956,C,23,$1862265,$1955377,$2296271,RFA,,jonathan-mogbo,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
Jordan Clarkson,https://www.spotrac.com/nba/player/_/id/15398,SG,32,$14092577,$14285714,UFA,,,jordan-clarkson,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly
Jordan Hawkins,https://www.spotrac.com/nba/player/_/id/82208,SG,22,$4525680,$4741320,$7021895,RFA,,jordan-hawkins,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly
Jordan McLaughlin,https://www.spotrac.com/nba/player/_/id/27975,PG,28,$2087519,$2,,,,jordan-mclaughlin,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Jordan Miller,https://www.spotrac.com/nba/player/_/id/84474,SF,25,Two-Way,RFA,,,,jordan-miller,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly
Jordan Poole,https://www.spotrac.com/nba/player/_/id/31587,SG,25,$29651786,$31848215,$34044642,UFA,,jordan-poole,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly
Jordan Walsh,https://www.spotrac.com/nba/player/_/id/84467,SF,20,$1891857,$2221677,$2406205,UFA,,jordan-walsh,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
Jose Alvarado,https://www.spotrac.com/nba/player/_/id/74331,PG,26,$1988598,$4500000,$4500000,UFA,,jose-alvarado,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly
Josh Christopher,https://www.spotrac.com/nba/player/_/id/74131,SG,23,Two-Way,RFA,,,,josh-christopher,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Josh Giddey,https://www.spotrac.com/nba/player/_/id/74113,SG,22,$8352367,RFA,,,,josh-giddey,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly
Josh Green,https://www.spotrac.com/nba/player/_/id/70660,SG,24,$12654321,$13666667,$14679012,UFA,,josh-green,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly
Josh Hart,https://www.spotrac.com/nba/player/_/id/23625,SG,29,$18144000,$19472240,$20923760,$22375280,UFA,josh-hart,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly
Josh Minott,https://www.spotrac.com/nba/player/_/id/78156,SF,22,$2019699,$2187451,UFA,,,josh-minott,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly
Josh Okogie,https://www.spotrac.com/nba/player/_/id/26986,SG,26,$8250000,$7750000,UFA,,,josh-okogie,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly
Josh Richardson,https://www.spotrac.com/nba/player/_/id/17868,SG,31,$3051153,UFA,,,,josh-richardson,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Jrue Holiday,https://www.spotrac.com/nba/player/_/id/6316,PG,34,$30000000,$32400000,$34800000,$37200000,UFA,jrue-holiday,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
JT Thor,https://www.spotrac.com/nba/player/_/id/74144,PF,22,Two-Way,UFA,,,,jt-thor,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly
Julian Champagnie,https://www.spotrac.com/nba/player/_/id/78268,SF,23,$3000000,$3000000,$3000000,UFA,,julian-champagnie,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
Julian Phillips,https://www.spotrac.com/nba/player/_/id/84444,SF,21,$1891857,$2221677,$2406205,UFA,,julian-phillips,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly
Julian Strawther,https://www.spotrac.com/nba/player/_/id/84463,SF,22,$2552520,$2674200,$4826931,RFA,,julian-strawther,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
Julius Randle,https://www.spotrac.com/nba/player/_/id/15359,PF,30,$33073920,$30935520,UFA,,,julius-randle,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly
Justin Champagnie,https://www.spotrac.com/nba/player/_/id/74240,SF,23,Two-Way,RFA,,,,justin-champagnie,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly
Justin Edwards,https://www.spotrac.com/nba/player/_/id/91770,SG,21,Two-Way,RFA,,,,justin-edwards,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
Justin Minaya,https://www.spotrac.com/nba/player/_/id/82122,F,25,Two-Way,RFA,,,,justin-minaya,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
Jusuf Nurkic,https://www.spotrac.com/nba/player/_/id/15368,C,30,$18125000,$19375000,UFA,,,jusuf-nurkic,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly
Kai Jones,https://www.spotrac.com/nba/player/_/id/74126,PF,24,Two-Way,RFA,,,,kai-jones,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly
Karl-Anthony Towns,https://www.spotrac.com/nba/player/_/id/17829,C,29,$49205800,$53142264,$57078728,$61015192,UFA,karl-anthony-towns,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly
Karlo Matkovic,https://www.spotrac.com/nba/player/_/id/78144,PF,23,$1407153,$1955377,$2296271,RFA,,karlo-matkovic,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly
Kawhi Leonard,https://www.spotrac.com/nba/player/_/id/8066,SF,33,$49205800,$50000000,$50300000,UFA,,kawhi-leonard,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly
Keaton Wallace,https://www.spotrac.com/nba/player/_/id/79960,G,25,Two-Way,RFA,,,,keaton-wallace,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly
Keegan Murray,https://www.spotrac.com/nba/player/_/id/78112,PF,24,$8809560,$11144093,RFA,,,keegan-murray,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Keldon Johnson,https://www.spotrac.com/nba/player/_/id/31588,SF,25,$19000000,$17500000,$17500000,UFA,,keldon-johnson,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
Kel'el Ware,https://www.spotrac.com/nba/player/_/id/91767,C,20,$4655040,$4887720,$5120400,$7849573,RFA,kelel-ware,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Kelly Olynyk,https://www.spotrac.com/nba/player/_/id/13326,PF,33,$12804878,$13445122,UFA,,,kelly-olynyk,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
Kelly Oubre Jr.,https://www.spotrac.com/nba/player/_/id/17843,SF,29,$7983000,$8382150,UFA,,,kelly-oubre,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
Kenrich Williams,https://www.spotrac.com/nba/player/_/id/27758,PF,30,$6669000,$7163000,$7163000,UFA,,kenrich-williams,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly
Kentavious Caldwell-Pope,https://www.spotrac.com/nba/player/_/id/13321,SG,31,$22757000,$21621500,$21621500,UFA,,kentavious-caldwell-pope,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly
Kenyon Martin Jr.,https://www.spotrac.com/nba/player/_/id/70694,SF,24,$7975000,$8025000,UFA,,,kenyon-martin,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
Keon Ellis,https://www.spotrac.com/nba/player/_/id/78267,SF,25,$2120693,$2301587,UFA,,,keon-ellis,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Keon Johnson,https://www.spotrac.com/nba/player/_/id/74128,SG,22,$2162606,$2349578,UFA,,,keon-johnson,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly
Keshad Johnson,https://www.spotrac.com/nba/player/_/id/91786,PF,23,Two-Way,RFA,,,,keshad-johnson,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Kessler Edwards,https://www.spotrac.com/nba/player/_/id/74151,SF,24,Two-Way,RFA,,,,kessler-edwards,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly
Kevin Durant,https://www.spotrac.com/nba/player/_/id/2717,SF,36,$51179021,$54708609,UFA,,,kevin-durant,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly
Kevin Huerter,https://www.spotrac.com/nba/player/_/id/26985,SG,26,$16830357,$17991071,UFA,,,kevin-huerter,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Kevin Love,https://www.spotrac.com/nba/player/_/id/6132,C,36,$3850000,$4150000,UFA,,,kevin-love,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Kevin McCullar Jr.,https://www.spotrac.com/nba/player/_/id/91763,SG,23,Two-Way,RFA,,,,kevin-mccullar,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly
Kevin Porter Jr.,https://www.spotrac.com/nba/player/_/id/31589,PG,24,$2237691,$2546675,UFA,,,kevin-porter,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly
Kevon Looney,https://www.spotrac.com/nba/player/_/id/17858,C,28,$8000000,UFA,,,,kevon-looney,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly
Keyonte George,https://www.spotrac.com/nba/player/_/id/82209,SG,21,$4084200,$4278960,$6563925,RFA,,keyonte-george,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly
Khris Middleton,https://www.spotrac.com/nba/player/_/id/10864,SF,33,$31666667,$34012345,UFA,,,khris-middleton,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly
K.J. Simpson,https://www.spotrac.com/nba/player/_/id/91788,PG,22,Two-Way,Two-Way,RFA,,,kj-simpson,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly
Klay Thompson,https://www.spotrac.com/nba/player/_/id/8062,SG,34,$15873016,$16666667,$17460317,UFA,,klay-thompson,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly
Kobe Brown,https://www.spotrac.com/nba/player/_/id/84464,PF,25,$2533920,$2654880,$4792059,RFA,,kobe-brown,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly
Kobe Bufkin,https://www.spotrac.com/nba/player/_/id/82271,PG,21,$4299000,$4503720,$6904203,RFA,,kobe-bufkin,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly
Kris Dunn,https://www.spotrac.com/nba/player/_/id/20210,PG,30,$5168000,$5426400,$5684800,UFA,,kris-dunn,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly
Kris Murray,https://www.spotrac.com/nba/player/_/id/82275,PF,24,$2990040,$3132000,$5315004,RFA,,kris-murray,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
Kristaps Porzingis,https://www.spotrac.com/nba/player/_/id/17832,PF,29,$29268293,$30731707,UFA,,,kristaps-porzingis,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
Kyle Anderson,https://www.spotrac.com/nba/player/_/id/15382,PF,31,$8780488,$9219512,$9658536,UFA,,kyle-anderson,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly
Kyle Filipowski,https://www.spotrac.com/nba/player/_/id/91757,PF,21,$3000000,$3000000,$3000000,$3000000,RFA,kyle-filipowski,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly
Kyle Kuzma,https://www.spotrac.com/nba/player/_/id/23622,PF,29,$23522727,$21477273,$19431818,UFA,,kyle-kuzma,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly
Kyle Lowry,https://www.spotrac.com/nba/player/_/id/2536,PG,38,$2087519,UFA,,,,kyle-lowry,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
Kyrie Irving,https://www.spotrac.com/nba/player/_/id/8051,PG,32,$41000000,$43962963,UFA,,,kyrie-irving,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly
Kyshawn George,https://www.spotrac.com/nba/player/_/id/91765,SG,21,$2825520,$2966760,$3108000,$5435892,RFA,kyshawn-george,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly
LaMelo Ball,https://www.spotrac.com/nba/player/_/id/70645,PG,23,$35147000,$37958760,$40770520,$43582280,$46394040,lamelo-ball,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly
Larry Nance Jr.,https://www.spotrac.com/nba/player/_/id/17855,PF,32,$11205000,UFA,,,,larry-nance,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly
Lauri Markkanen,https://www.spotrac.com/nba/player/_/id/23602,PF,27,$42176400,$46394100,$46113154,$49824681,$53536209,lauri-markkanen,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly
LeBron James,https://www.spotrac.com/nba/player/_/id/2257,PF,40,$48728845,$52627153,UFA,,,lebron-james,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly
Leonard Miller,https://www.spotrac.com/nba/player/_/id/82215,SF,21,$1891857,$2221677,$2406205,UFA,,leonard-miller,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly
Liam Robbins,https://www.spotrac.com/nba/player/_/id/86046,C,25,Two-Way,RFA,,,,liam-robbins,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly
Lindy Waters III,https://www.spotrac.com/nba/player/_/id/75746,SF,27,$2196970,UFA,,,,lindy-waters,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly
Lonzo Ball,https://www.spotrac.com/nba/player/_/id/23597,PG,27,$21395348,UFA,,,,lonzo-ball,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly
Luguentz Dort,https://www.spotrac.com/nba/player/_/id/33033,SG,25,$16500000,$17722222,$17722222,UFA,,luguentz-dort,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly
Luka Doncic,https://www.spotrac.com/nba/player/_/id/26969,PG,25,$43031940,$45999660,$48967380,UFA,,luka-doncic,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly
Luka Garza,https://www.spotrac.com/nba/player/_/id/74159,C,26,$2162606,$2349578,UFA,,,luka-garza,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly
Luke Kennard,https://www.spotrac.com/nba/player/_/id/23607,SG,28,$9250000,UFA,,,,luke-kennard,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly
Luke Kornet,https://www.spotrac.com/nba/player/_/id/23670,C,29,$2087519,UFA,,,,luke-kornet,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
Luke Travers,https://www.spotrac.com/nba/player/_/id/78166,SG,23,Two-Way,RFA,,,,luke-travers,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly
Mac McClung,https://www.spotrac.com/nba/player/_/id/74267,PG,26,Two-Way,RFA,,,,mac-mcclung,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly
Malaki Branham,https://www.spotrac.com/nba/player/_/id/78120,SG,21,$3217920,$4962033,RFA,,,malaki-branham,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
Malcolm Brogdon,https://www.spotrac.com/nba/player/_/id/20242,PG,32,$22500000,UFA,,,,malcolm-brogdon,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly
Malik Beasley,https://www.spotrac.com/nba/player/_/id/20224,SG,28,$6000000,UFA,,,,malik-beasley,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly
Malik Monk,https://www.spotrac.com/nba/player/_/id/23606,SG,26,$17405203,$18797619,$20190035,$21582451,UFA,malik-monk,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Marcus Sasser,https://www.spotrac.com/nba/player/_/id/84442,PG,24,$2755080,$2886720,$5198983,RFA,,marcus-sasser,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly
